[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Run ShowRuntime Behavior [ RunTime:0.000503s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001907s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Tag[ view_end ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Run ShowPageTrace Behavior [ RunTime:0.000737s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Tag[ view_end ] --END-- [ RunTime:0.000840s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ route_check ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Run CheckRoute Behavior [ RunTime:0.001061s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ route_check ] --END-- [ RunTime:0.001206s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ app_begin ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000835s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Run CheckLang Behavior [ RunTime:0.001953s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002985s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ view_template ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Run LocationTemplate Behavior [ RunTime:0.001472s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ view_template ] --END-- [ RunTime:0.001617s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ view_parse ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action b83a78fcd3140ec7ddaee929fd1f8fd1.php 第 42 行.
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action b83a78fcd3140ec7ddaee929fd1f8fd1.php 第 51 行.
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action b83a78fcd3140ec7ddaee929fd1f8fd1.php 第 65 行.
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | NOTIC: [8] Undefined variable: security b83a78fcd3140ec7ddaee929fd1f8fd1.php 第 81 行.
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | NOTIC: [8] Undefined variable: security b83a78fcd3140ec7ddaee929fd1f8fd1.php 第 82 行.
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | NOTIC: [8] Undefined variable: security b83a78fcd3140ec7ddaee929fd1f8fd1.php 第 83 行.
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Run ParseTemplate Behavior [ RunTime:0.018768s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018860s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ view_filter ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Run ContentReplace Behavior [ RunTime:0.000493s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Run TokenBuild Behavior [ RunTime:0.000522s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000341s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Run ShowRuntime Behavior [ RunTime:0.000582s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002313s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ view_end ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Run ShowPageTrace Behavior [ RunTime:0.000578s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ view_end ] --END-- [ RunTime:0.000664s ]
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Tag[ route_check ] --START--
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Run CheckRoute Behavior [ RunTime:0.000960s ]
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Tag[ route_check ] --END-- [ RunTime:0.001078s ]
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Tag[ app_begin ] --START--
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000565s ]
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Run CheckLang Behavior [ RunTime:0.001554s ]
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002236s ]
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Tag[ view_template ] --START--
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Run LocationTemplate Behavior [ RunTime:0.000580s ]
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Tag[ view_template ] --END-- [ RunTime:0.000654s ]
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Tag[ view_parse ] --START--
